# file...... house0_l106_tm.csv
# date...... Thu Jul 26 11:50:00 2018
# user...... gld
# host...... (null)
# target.... house 4761
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,mass_heat_coeff, UA, heating_system_type, cooling_system_type, auxiliary_system_type, air_heat_capacity, mass_heat_capacity, design_heating_capacity, design_cooling_capacity, auxiliary_heat_capacity, thermostat_deadband, Qi, Qa, Qm, Qh, outdoor_temperature, air_temperature, mass_temperature, thermostat_mode
2013-07-29 00:00:00 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.81,+786.407,+786.407,+0,+91.042,+70.35,+70.35,AUTO
2013-07-29 00:00:01 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.81,+786.403,+786.403,+0,+91.042,+70.3521,+70.35,AUTO
2013-07-29 00:00:02 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.8,+786.4,+786.4,+0,+91.042,+70.3541,+70.3501,AUTO
2013-07-29 00:00:03 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.79,+786.397,+786.397,+0,+91.042,+70.3561,+70.3501,AUTO
2013-07-29 00:00:04 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.79,+786.393,+786.393,+0,+91.042,+70.3582,+70.3501,AUTO
2013-07-29 00:00:05 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.78,+786.39,+786.39,+0,+91.042,+70.3602,+70.3501,AUTO
2013-07-29 00:00:06 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.77,+786.386,+786.386,+0,+91.042,+70.3622,+70.3502,AUTO
2013-07-29 00:00:07 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.77,+786.383,+786.383,+0,+91.042,+70.3642,+70.3502,AUTO
2013-07-29 00:00:08 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.76,+786.38,+786.38,+0,+91.042,+70.3662,+70.3502,AUTO
2013-07-29 00:00:09 PST,+11396.5,+329.575,GAS,HEAT_PUMP,0,+1027.5,+8617.3,+20000,+30000,+20000,+2,+1572.75,+786.376,+786.376,+0,+91.042,+70.3682,+70.3503,AUTO
