#nanoseconds	topic	value
0	GLD/Binv_house14_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house14_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house14_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house14_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house14_l107_tm_rated_battery_power	+1046.86 W
0	GLD/Binv_house14_l107_tm_rated_power	+1046.86 VA
0	GLD/Binv_house13_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house13_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house13_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house13_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house13_l107_tm_rated_battery_power	+1037.5 W
0	GLD/Binv_house13_l107_tm_rated_power	+1037.5 VA
0	GLD/Binv_house12_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house12_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house12_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house12_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house12_l107_tm_rated_battery_power	+1003.64 W
0	GLD/Binv_house12_l107_tm_rated_power	+1003.64 VA
0	GLD/Binv_house11_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house11_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house11_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house11_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house11_l107_tm_rated_battery_power	+1047.13 W
0	GLD/Binv_house11_l107_tm_rated_power	+1047.13 VA
0	GLD/Binv_house10_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house10_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house10_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house10_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house10_l107_tm_rated_battery_power	+1047.35 W
0	GLD/Binv_house10_l107_tm_rated_power	+1047.35 VA
0	GLD/Binv_house7_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house7_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house7_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house7_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house7_l107_tm_rated_battery_power	+1034.32 W
0	GLD/Binv_house7_l107_tm_rated_power	+1034.32 VA
0	GLD/Binv_house6_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house6_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house6_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house6_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house6_l107_tm_rated_battery_power	+1053.34 W
0	GLD/Binv_house6_l107_tm_rated_power	+1053.34 VA
0	GLD/Binv_house4_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house4_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house4_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house4_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house4_l107_tm_rated_battery_power	+1059.76 W
0	GLD/Binv_house4_l107_tm_rated_power	+1059.76 VA
