# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Fri Jul 26 12:25:41 2019
# user...... ankit
# host...... (null)
# target.... meter 285
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-07-29 12:00:00 PST,+291.621-128.875j,-234.144-138.588j,-26.4079+266.091j,+2401.4-0.595788j,-1201.11-2079.44j,-1200.3+2079.97j,+1.85496e+06+894196j
2013-07-29 12:00:01 PST,+298.106-133.699j,-243.7-142.732j,-26.1558+268.342j,+2401.39-0.608393j,-1201.12-2079.42j,-1200.29+2079.97j,+1.895e+06+923885j
2013-07-29 12:00:02 PST,+298.106-133.699j,-243.7-142.732j,-26.1558+268.342j,+2401.39-0.608393j,-1201.12-2079.42j,-1200.29+2079.97j,+1.895e+06+923885j
2013-07-29 12:00:03 PST,+298.106-133.699j,-243.7-142.732j,-26.1558+268.342j,+2401.39-0.608393j,-1201.12-2079.42j,-1200.29+2079.97j,+1.895e+06+923885j
2013-07-29 12:00:04 PST,+298.091-133.698j,-243.826-142.562j,-26.1432+268.325j,+2401.39-0.608361j,-1201.12-2079.42j,-1200.29+2079.97j,+1.89471e+06+924355j
2013-07-29 12:00:05 PST,+312.124-145.275j,-245.797-143.409j,-24.6046+282.322j,+2401.36-0.635266j,-1201.12-2079.42j,-1200.26+2079.96j,+1.9598e+06+975205j
2013-07-29 12:00:06 PST,+312.124-145.275j,-245.797-143.409j,-24.6046+282.322j,+2401.36-0.635266j,-1201.12-2079.42j,-1200.26+2079.96j,+1.9598e+06+975205j
2013-07-29 12:00:07 PST,+312.124-145.275j,-245.797-143.409j,-24.6046+282.322j,+2401.36-0.635266j,-1201.12-2079.42j,-1200.26+2079.96j,+1.9598e+06+975205j
2013-07-29 12:00:08 PST,+312.022-145.521j,-245.815-143.388j,-24.5977+282.303j,+2401.36-0.634962j,-1201.12-2079.42j,-1200.26+2079.96j,+1.95949e+06+975851j
2013-07-29 12:00:09 PST,+334.425-162.243j,-250.48-145.44j,-23.0145+296.176j,+2401.31-0.678494j,-1201.12-2079.4j,-1200.23+2079.95j,+2.05011e+06+1.04314e+06j
2013-07-29 12:00:10 PST,+334.425-162.243j,-250.48-145.44j,-23.0145+296.176j,+2401.31-0.678494j,-1201.12-2079.4j,-1200.23+2079.95j,+2.05011e+06+1.04314e+06j
2013-07-29 12:00:11 PST,+334.425-162.243j,-250.48-145.44j,-23.0145+296.176j,+2401.31-0.678494j,-1201.12-2079.4j,-1200.23+2079.95j,+2.05011e+06+1.04314e+06j
2013-07-29 12:00:12 PST,+334.291-162.754j,-250.524-145.367j,-23.0704+296.158j,+2401.31-0.678032j,-1201.12-2079.4j,-1200.23+2079.95j,+2.04972e+06+1.04441e+06j
2013-07-29 12:00:13 PST,+341.737-168.248j,-256.315-148.789j,-22.5538+300.694j,+2401.3-0.692522j,-1201.13-2079.39j,-1200.22+2079.95j,+2.09048e+06+1.07203e+06j
2013-07-29 12:00:14 PST,+341.737-168.248j,-256.315-148.789j,-22.5538+300.694j,+2401.3-0.692522j,-1201.13-2079.39j,-1200.22+2079.95j,+2.09048e+06+1.07203e+06j
2013-07-29 12:00:15 PST,+341.737-168.248j,-256.315-148.789j,-22.5538+300.694j,+2401.3-0.692522j,-1201.13-2079.39j,-1200.22+2079.95j,+2.09048e+06+1.07203e+06j
2013-07-29 12:00:16 PST,+341.737-168.312j,-256.396-148.656j,-22.518+300.685j,+2401.3-0.6925j,-1201.13-2079.39j,-1200.22+2079.95j,+2.09024e+06+1.07258e+06j
2013-07-29 12:00:17 PST,+355.505-178.579j,-260.278-150.32j,-21.7584+307.641j,+2401.27-0.719257j,-1201.13-2079.38j,-1200.21+2079.95j,+2.14499e+06+1.1132e+06j
2013-07-29 12:00:18 PST,+355.505-178.579j,-260.278-150.32j,-21.7584+307.641j,+2401.27-0.719257j,-1201.13-2079.38j,-1200.21+2079.95j,+2.14499e+06+1.1132e+06j
2013-07-29 12:00:19 PST,+355.505-178.579j,-260.278-150.32j,-21.7584+307.641j,+2401.27-0.719257j,-1201.13-2079.38j,-1200.21+2079.95j,+2.14499e+06+1.1132e+06j
2013-07-29 12:00:20 PST,+355.449-178.917j,-260.361-150.213j,-21.8317+307.633j,+2401.27-0.719024j,-1201.13-2079.38j,-1200.21+2079.95j,+2.1448e+06+1.11415e+06j
2013-07-29 12:00:21 PST,+361.72-183.668j,-266.821-153.029j,-20.1365+323.768j,+2401.26-0.731185j,-1201.14-2079.37j,-1200.17+2079.94j,+2.20499e+06+1.15848e+06j
2013-07-29 12:00:22 PST,+361.72-183.668j,-266.821-153.029j,-20.1365+323.768j,+2401.26-0.731185j,-1201.14-2079.37j,-1200.17+2079.94j,+2.20499e+06+1.15848e+06j
2013-07-29 12:00:23 PST,+361.72-183.668j,-266.821-153.029j,-20.1365+323.768j,+2401.26-0.731185j,-1201.14-2079.37j,-1200.17+2079.94j,+2.20499e+06+1.15848e+06j
2013-07-29 12:00:24 PST,+361.688-183.822j,-266.875-152.985j,-20.0407+323.813j,+2401.26-0.731065j,-1201.14-2079.37j,-1200.17+2079.94j,+2.20487e+06+1.15926e+06j
2013-07-29 12:00:25 PST,+375.699-194.276j,-271.763-155.08j,-19.3642+329.859j,+2401.23-0.75829j,-1201.14-2079.35j,-1200.16+2079.93j,+2.2605e+06+1.20064e+06j
2013-07-29 12:00:26 PST,+375.699-194.276j,-271.763-155.08j,-19.3642+329.859j,+2401.23-0.75829j,-1201.14-2079.35j,-1200.16+2079.93j,+2.2605e+06+1.20064e+06j
2013-07-29 12:00:27 PST,+375.699-194.276j,-271.763-155.08j,-19.3642+329.859j,+2401.23-0.75829j,-1201.14-2079.35j,-1200.16+2079.93j,+2.2605e+06+1.20064e+06j
2013-07-29 12:00:28 PST,+375.674-194.589j,-271.828-154.978j,-19.3845+329.864j,+2401.23-0.758133j,-1201.14-2079.35j,-1200.16+2079.93j,+2.26034e+06+1.20162e+06j
2013-07-29 12:00:29 PST,+389.423-204.91j,-281.75-159.219j,-17.8881+343.264j,+2401.2-0.784828j,-1201.14-2079.33j,-1200.13+2079.93j,+2.34017e+06+1.26109e+06j
2013-07-29 12:00:30 PST,+389.423-204.91j,-281.75-159.219j,-17.8881+343.264j,+2401.2-0.784828j,-1201.14-2079.33j,-1200.13+2079.93j,+2.34017e+06+1.26109e+06j
2013-07-29 12:00:31 PST,+389.423-204.91j,-281.75-159.219j,-17.8881+343.264j,+2401.2-0.784828j,-1201.14-2079.33j,-1200.13+2079.93j,+2.34017e+06+1.26109e+06j
2013-07-29 12:00:32 PST,+389.401-205.228j,-281.825-159.118j,-17.7397+343.298j,+2401.2-0.784677j,-1201.14-2079.33j,-1200.13+2079.93j,+2.33989e+06+1.26248e+06j
2013-07-29 12:00:33 PST,+396.04-210.237j,-289.268-163.517j,-17.1697+348.2j,+2401.19-0.79756j,-1201.15-2079.31j,-1200.12+2079.92j,+2.38343e+06+1.29174e+06j
2013-07-29 12:00:34 PST,+396.04-210.237j,-289.268-163.517j,-17.1697+348.2j,+2401.19-0.79756j,-1201.15-2079.31j,-1200.12+2079.92j,+2.38343e+06+1.29174e+06j
2013-07-29 12:00:35 PST,+396.04-210.237j,-289.268-163.517j,-17.1697+348.2j,+2401.19-0.79756j,-1201.15-2079.31j,-1200.12+2079.92j,+2.38343e+06+1.29174e+06j
2013-07-29 12:00:36 PST,+396.029-210.408j,-289.363-163.408j,-17.1447+348.214j,+2401.19-0.797479j,-1201.15-2079.31j,-1200.12+2079.92j,+2.38329e+06+1.29255e+06j
2013-07-29 12:00:37 PST,+401.015-214.196j,-297.949-167.158j,-16.1195+357.047j,+2401.18-0.807145j,-1201.16-2079.29j,-1200.1+2079.92j,+2.43051e+06+1.32771e+06j
2013-07-29 12:00:38 PST,+401.015-214.196j,-297.949-167.158j,-16.1195+357.047j,+2401.18-0.807145j,-1201.16-2079.29j,-1200.1+2079.92j,+2.43051e+06+1.32771e+06j
