# voltages.csv run at 2000-01-01 03:00:00 EST on 134 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
3,0.000000,0.000000,0.000000,0.000000,-1225.374911,2157.776898
8,2439.902760,-61.328023,-1274.575973,-2144.214504,-1201.404025,2149.432788
13,2420.384129,-79.401263,-1280.710003,-2134.665475,-1184.174211,2143.332429
14,2417.055961,-63.371867,0.000000,0.000000,0.000000,0.000000
1401,2421.123165,-62.065927,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,-1181.600441,2140.990362
18,2398.515149,-97.531665,-1284.700130,-2121.227541,-1172.760023,2128.197171
21,2397.185135,-99.793408,-1284.736866,-2121.395136,-1170.561519,2126.116389
23,2396.160535,-102.080643,-1284.618508,-2122.567198,-1168.666836,2124.017034
25,2394.537527,-104.468104,-1284.856359,-2123.720618,-1167.636266,2122.107333
26,2393.919038,-105.576348,0.000000,0.000000,-1159.385860,2107.986374
2601,2394.537527,-104.468104,-1284.856359,-2123.720618,-1160.338539,2108.844162
27,2393.054592,-106.313019,0.000000,0.000000,-1159.685946,2107.719041
36,2389.467672,-101.679916,-1285.855246,-2112.185115,0.000000,0.000000
40,2388.076608,-102.378840,-1284.970197,-2110.844443,-1166.319567,2125.664450
44,2381.578286,-104.944188,-1285.548004,-2105.429805,-1161.791519,2123.250127
54,2394.891984,-106.282698,-1294.005391,-2119.683744,-1160.234288,2140.704983
57,2386.873708,-118.602888,-1298.168399,-2109.375820,-1149.344948,2139.600295
61,2369.895779,-146.063692,-1306.578351,-2090.296059,-1125.647924,2135.913065
67,2483.264006,-163.890864,-1320.190892,-2097.402471,-1153.178916,2200.887847
6701,2488.390568,-153.366876,-1314.744466,-2103.360409,-1160.824422,2202.660348
72,2483.985768,-168.158886,-1322.846661,-2093.255598,-1148.429592,2202.858098
78,2486.890382,-174.790803,-1331.253429,-2090.927158,-1144.671246,2209.385799
81,2496.664380,-181.405768,-1339.769351,-2096.797034,-1138.190201,2216.623653
89,2479.015521,-172.643529,-1333.289385,-2077.301430,-1147.520966,2211.534430
91,2478.543114,-172.500503,-1333.378815,-2076.310548,-1147.137247,2212.312910
93,2477.769869,-172.718199,-1333.744017,-2075.615261,-1147.498328,2212.386010
97,2480.735641,-165.996173,-1320.355188,-2095.873747,-1151.648010,2199.707619
101,2478.675579,-167.730593,-1320.556904,-2094.986269,-1150.671832,2198.742365
105,2475.405752,-169.283794,-1321.966146,-2093.663409,-1152.084569,2198.736261
108,2471.692050,-172.030133,-1323.262560,-2094.682523,-1153.473788,2197.592874
110,2456.812098,-176.116279,0.000000,0.000000,0.000000,0.000000
135,2398.515149,-97.531665,-1284.700130,-2121.227541,-1172.760023,2128.197171
149,2506.854848,0.000000,-1253.427476,-2171.000000,-1253.427476,2171.000000
1491,2506.854848,0.000000,-1253.427476,-2171.000000,-1253.427476,2171.000000
150,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
151,2377.921018,-106.873017,-1284.829875,-2101.694372,-1156.922148,2121.099465
152,2420.384129,-79.401263,-1280.710003,-2134.665475,-1184.174211,2143.332429
160,2369.895779,-146.063692,-1306.578351,-2090.296059,-1125.647924,2135.913065
195,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
197,2480.735641,-165.996173,-1320.355188,-2095.873747,-1151.648010,2199.707619
250,2393.824127,-106.633434,-1284.556504,-2124.873897,-1165.307066,2119.946265
251,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
300,2471.692050,-172.030133,-1323.262560,-2094.682523,-1153.473788,2197.592874
350,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
450,2481.412154,-166.100807,-1319.067445,-2093.441818,-1148.006116,2199.043323
451,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
610,275.846840,-12.990169,-148.361714,-237.324673,-127.485126,250.314842
611,2369.895779,-146.063692,-1306.578351,-2090.296059,-1125.647924,2135.913065
