# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Tue Apr 17 15:18:40 2018
# user...... reim112
# host...... (null)
# target.... meter 284
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-07-29 00:00:00 PST,+340.009-144.756j,-238.177-139.738j,-34.0712+303.318j,+2401.35-0.696451j,-1201.12-2079.43j,-1200.21+2079.97j,+2.06502e+006+967983j
2013-07-29 00:01:00 PST,+353.83-149.797j,-239.265-140.676j,-35.5641+308.483j,+2401.33-0.725039j,-1201.12-2079.43j,-1200.2+2079.98j,+2.11401e+006+984291j
2013-07-29 00:02:00 PST,+360.698-153.336j,-239.537-141.027j,-37.3886+315.459j,+2401.32-0.738905j,-1201.12-2079.43j,-1200.19+2079.98j,+2.14825e+006+997495j
2013-07-29 00:03:00 PST,+361.977-153.904j,-240.173-142.179j,-37.868+318.697j,+2401.32-0.741516j,-1201.12-2079.43j,-1200.18+2079.98j,+2.1618e+006+1.00168e+006j
2013-07-29 00:04:00 PST,+360.434-153.336j,-239.985-140.057j,-37.7035+318.627j,+2401.32-0.738326j,-1201.12-2079.43j,-1200.18+2079.98j,+2.15311e+006+1.00274e+006j
2013-07-29 00:05:00 PST,+344.468-149.807j,-238.137-137.854j,-34.8045+310.142j,+2401.34-0.704549j,-1201.11-2079.43j,-1200.2+2079.97j,+2.08684e+006+988944j
2013-07-29 00:06:00 PST,+335.752-146.194j,-244.986-143.427j,-34.704+310.742j,+2401.35-0.686665j,-1201.12-2079.42j,-1200.2+2079.97j,+2.08685e+006+988754j
2013-07-29 00:07:00 PST,+320.836-140.881j,-244.799-143.126j,-31.7296+301.168j,+2401.36-0.655771j,-1201.12-2079.42j,-1200.22+2079.97j,+2.02669e+006+970694j
2013-07-29 00:08:00 PST,+329.541-144.157j,-244.288-142.816j,-32.3116+301.238j,+2401.35-0.673744j,-1201.12-2079.42j,-1200.22+2079.97j,+2.04718e+006+976732j
2013-07-29 00:09:00 PST,+330.712-145.623j,-237.155-137.638j,-29.9681+292.321j,+2401.35-0.675823j,-1201.11-2079.44j,-1200.24+2079.97j,+2.0093e+006+965821j
2013-07-29 00:10:00 PST,+333.649-147.055j,-229.737-129.849j,-29.3601+293.389j,+2401.35-0.681779j,-1201.1-2079.45j,-1200.24+2079.97j,+1.99274e+006+965738j
2013-07-29 00:11:00 PST,+323.749-143.208j,-230.274-130.386j,-30.1105+298.823j,+2401.36-0.66138j,-1201.1-2079.45j,-1200.22+2079.97j,+1.98292e+006+961944j
2013-07-29 00:12:00 PST,+311.078-140.524j,-230.733-130.775j,-31.3859+307.861j,+2401.37-0.634538j,-1201.1-2079.45j,-1200.2+2079.97j,+1.97419e+006+964190j
2013-07-29 00:13:00 PST,+308.77-139.719j,-230.5-130.477j,-30.6358+301.822j,+2401.37-0.629751j,-1201.1-2079.45j,-1200.22+2079.97j,+1.95428e+006+956452j
2013-07-29 00:14:00 PST,+316.121-142.381j,-231.857-131.479j,-29.8106+295.996j,+2401.36-0.644962j,-1201.1-2079.45j,-1200.23+2079.97j,+1.96254e+006+959179j
2013-07-29 00:15:00 PST,+316.464-142.994j,-232.687-131.568j,-28.4575+287.766j,+2401.36-0.645511j,-1201.1-2079.45j,-1200.25+2079.97j,+1.94581e+006+955211j
2013-07-29 00:16:00 PST,+328.271-147.579j,-236.101-134.456j,-28.5649+286.331j,+2401.35-0.669842j,-1201.11-2079.44j,-1200.25+2079.97j,+1.98141e+006+967887j
2013-07-29 00:17:00 PST,+319.954-145.648j,-234.274-132.534j,-29.2888+291.869j,+2401.35-0.652276j,-1201.1-2079.44j,-1200.24+2079.97j,+1.96763e+006+966908j
2013-07-29 00:18:00 PST,+311.125-142.292j,-235.645-133.416j,-30.1987+298.182j,+2401.36-0.634059j,-1201.1-2079.44j,-1200.23+2079.97j,+1.96413e+006+966336j
2013-07-29 00:19:00 PST,+307.914-140.295j,-230.056-127.91j,-31.2696+296.353j,+2401.37-0.62769j,-1201.09-2079.45j,-1200.23+2079.97j,+1.93574e+006+952117j
2013-07-29 00:20:00 PST,+312.523-142.65j,-231.367-129.066j,-30.693+296.704j,+2401.36-0.637001j,-1201.1-2079.45j,-1200.23+2079.97j,+1.95083e+006+960724j
2013-07-29 00:21:00 PST,+315.485-143.247j,-232.483-129.948j,-31.1766+299.177j,+2401.36-0.643286j,-1201.1-2079.45j,-1200.22+2079.97j,+1.96684e+006+965374j
2013-07-29 00:22:00 PST,+314.112-142.349j,-233.712-130.882j,-30.3416+294.894j,+2401.36-0.640577j,-1201.1-2079.45j,-1200.23+2079.97j,+1.95705e+006+961251j
2013-07-29 00:23:00 PST,+327.279-145.907j,-228.449-126.494j,-28.4235+290.078j,+2401.35-0.66822j,-1201.09-2079.46j,-1200.24+2079.97j,+1.96091e+006+962318j
2013-07-29 00:24:00 PST,+313.647-140.368j,-229.002-127.154j,-29.4209+299.541j,+2401.37-0.640211j,-1201.09-2079.46j,-1200.22+2079.97j,+1.95108e+006+958674j
2013-07-29 00:25:00 PST,+311.814-139.923j,-226.988-124.679j,-29.8405+296.532j,+2401.37-0.636344j,-1201.09-2079.46j,-1200.23+2079.97j,+1.93336e+006+951911j
2013-07-29 00:26:00 PST,+308.002-138.346j,-227.281-124.785j,-27.6781+284.153j,+2401.37-0.628521j,-1201.09-2079.46j,-1200.26+2079.97j,+1.89643e+006+938260j
2013-07-29 00:27:00 PST,+304.798-138.26j,-228.091-125.331j,-26.9381+282.73j,+2401.37-0.621539j,-1201.09-2079.46j,-1200.26+2079.97j,+1.887e+006+938918j
2013-07-29 00:28:00 PST,+314.436-141.456j,-228.955-127.464j,-27.3606+285.64j,+2401.36-0.641579j,-1201.09-2079.46j,-1200.25+2079.97j,+1.92218e+006+948423j
2013-07-29 00:29:00 PST,+321.626-144.085j,-224.93-124.209j,-29.738+300.019j,+2401.36-0.656449j,-1201.09-2079.47j,-1200.22+2079.97j,+1.96061e+006+962572j
2013-07-29 00:30:00 PST,+312.756-140.257j,-225.882-126.482j,-28.2432+291.512j,+2401.37-0.638296j,-1201.09-2079.46j,-1200.24+2079.97j,+1.92569e+006+945544j
2013-07-29 00:31:00 PST,+321.414-142.949j,-231.413-131.711j,-28.7891+294.653j,+2401.36-0.656356j,-1201.1-2079.45j,-1200.23+2079.97j,+1.97118e+006+959848j
2013-07-29 00:32:00 PST,+312.902-139.473j,-229.603-129.213j,-27.2178+285.329j,+2401.37-0.638874j,-1201.1-2079.46j,-1200.26+2079.97j,+1.92209e+006+942835j
2013-07-29 00:33:00 PST,+306.406-138.496j,-234.078-132.923j,-25.5386+278.706j,+2401.37-0.624979j,-1201.1-2079.44j,-1200.27+2079.96j,+1.90379e+006+940890j
2013-07-29 00:34:00 PST,+305.717-138.292j,-236.649-135.113j,-26.8448+286.166j,+2401.37-0.62354j,-1201.11-2079.44j,-1200.25+2079.96j,+1.92686e+006+949348j
2013-07-29 00:35:00 PST,+294.737-134.37j,-233.69-132.762j,-26.6999+288.543j,+2401.39-0.600802j,-1201.1-2079.45j,-1200.25+2079.96j,+1.89682e+006+939770j
2013-07-29 00:36:00 PST,+293.269-133.998j,-233.221-132.202j,-26.6039+288.666j,+2401.39-0.597713j,-1201.1-2079.45j,-1200.25+2079.96j,+1.89171e+006+938925j
2013-07-29 00:37:00 PST,+310.213-140.067j,-230.475-129.822j,-25.2718+279.323j,+2401.37-0.632796j,-1201.1-2079.45j,-1200.27+2079.96j,+1.90312e+006+942186j
2013-07-29 00:38:00 PST,+314.056-142.394j,-225.55-125.895j,-24.8931+282.107j,+2401.36-0.640439j,-1201.09-2079.47j,-1200.26+2079.96j,+1.9036e+006+946377j
2013-07-29 00:39:00 PST,+305.828-139.108j,-226.177-125.646j,-22.9807+271.46j,+2401.37-0.623515j,-1201.09-2079.46j,-1200.29+2079.96j,+1.85964e+006+931305j
2013-07-29 00:40:00 PST,+313.222-141.953j,-226.719-126.017j,-22.8279+270.386j,+2401.36-0.638759j,-1201.09-2079.46j,-1200.29+2079.96j,+1.8764e+006+937838j
